item_name,price,availability,color,type,case,range,frets,body_material,ukulele_type,fretboard_material,fingerboard_material,url
"WIKI UK/KREMLIN - укулеле, сопрано, `КРЕМЛЬ` + чехол",3247,В наличии,Белый,Без звукоснимателя,Чехол,13,12,Липа,Сопрано,Палисандр,Липа,https://www.muztorg.ru/product/A081715#characteristics
"WIKI UK/HOHLOMA - укулеле, сопрано, `ХОХЛОМА`, + чехол",3247,В наличии,Черный,Без звукоснимателя,Чехол,13,12,Липа,Сопрано,Палисандр,Липа,https://www.muztorg.ru/product/A081714#characteristics
FENDER Zuma Classic Uke CAR WN,11600,В наличии,Красный,Без звукоснимателя,,15,16,Сапеле,Концерт,Орех,Нато,https://www.muztorg.ru/product/A083282#characteristics
"WIKI UK/RUS/GZHEL- укулеле, сопрано, `ГЖЕЛЬ` + чехол",3247,В наличии,Рисунок,Без звукоснимателя,Чехол,13,12,Липа,Сопрано,Палисандр,Липа,https://www.muztorg.ru/product/A081717#characteristics
FENDER G VanderWaal Sig Uke WN w/bag,18200,В наличии,Натуральный,Со звукоснимателем,Чехол,15,16,Сапеле,Концерт,Орех,Нато,https://www.muztorg.ru/product/A083286#characteristics
FENDER G VanderWaal `Moonlight` Uke N,8400,В наличии,Синий,Без звукоснимателя,,15,16,Красное дерево,Сопрано,Орех,Нато,https://www.muztorg.ru/product/A083287#characteristics
"WIKI UK/MATR - укулеле, сопрано,`МАТРЁШКА` + чехол",3247,В наличии,Белый,Без звукоснимателя,Чехол,13,12,Липа,Сопрано,Палисандр,Липа,https://www.muztorg.ru/product/A081716#characteristics
CORDOBA 20 BM,16400,В наличии,Натуральный,Без звукоснимателя,,20,19,Махагони,Баритон,Палисандр,Махагони,https://www.muztorg.ru/product/A065257#characteristics
Hora W1176 Walnut Укулеле тенор,8547,В наличии,Натуральный,Без звукоснимателя,,15.7,17,Орех,Тенор,Палисандр,Бук,https://www.muztorg.ru/product/A091707#characteristics
HORA W1175 Walnut,8862,В наличии,Натуральный,Без звукоснимателя,,13,15,Ель,Сопрано,Палисандр,Бук,https://www.muztorg.ru/product/A079711#characteristics
Hora Mahogany,12506,В наличии,Натуральный,Без звукоснимателя,,,18,Махагони,Баритон,Махагони,Махагони,https://www.muztorg.ru/product/A091663#characteristics
"Hora Z1176 Zebrano Укулеле тенор, Hora",9303,В наличии,Натуральный,Без звукоснимателя,,15,17,Зебрано,Тенор,,,https://www.muztorg.ru/product/A091704#characteristics
"WIKI UK/SLAVE - укулеле, сопрано, `Славянский узор` + чехол",3247,В наличии,Рисунок,Без звукоснимателя,Чехол,13,12,Липа,Сопрано,Палисандр,Липа,https://www.muztorg.ru/product/A081718#characteristics
Hora Z1177 Zebrano,10175,В наличии,Натуральный,Без звукоснимателя,,18.5,17,Зебрано,Баритон,,,https://www.muztorg.ru/product/A091703#characteristics
Hora S1175,5670,В наличии,Натуральный,Без звукоснимателя,,,12,Махагони,Сопрано,Махагони,Махагони,https://www.muztorg.ru/product/A091708#characteristics
Hora Mahogany,6594,В наличии,Натуральный,Без звукоснимателя,,,17,Махагони,Сопрано,Махагони,Махагони,https://www.muztorg.ru/product/A091664#characteristics
CORT UKE-BWC-OP,13797,В наличии,Натуральный,Без звукоснимателя,Чехол,15,17,Черное дерево,Концерт,Палисандр,Красное дерево,https://www.muztorg.ru/product/A079299#characteristics
HORA Z1175 Zebrano,8148,В наличии,Натуральный,Без звукоснимателя,,13,15,Зебрано,Сопрано,Палисандр,Бук,https://www.muztorg.ru/product/A079712#characteristics
Seagull 046355 Uke Nylon SG Burst EQ,32204,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A095278
Ovation UCS10P-KOAE Ukulele Celebrity Standard Plus Natural Koa,28980,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A104156
Doff UC-Doff,8226,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A099290
WIKI UK20CE,7158,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101208
WIKI UK65S,6944,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101215
Suzuki SRUK-1 SB,6420,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A104097
WIKI UK40/C,6303,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101210
WIKI UK60S,6302,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101214
WIKI UK40/S,5742,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101211
WIKI UK20T,5553,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101209
WIKI UK50S/S,5249,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101212
WIKI UK/RACING RED,2960,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101190
WIKI UK/DRAGON,2960,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101182
WIKI UK/FLORAL,2960,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101185
WIKI UK/RACING BLUE,2960,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101189
WIKI UK/DE,2960,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101181
WIKI UK/FATALE,2960,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101184
WIKI UK/PINUP,2960,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101187
WIKI UK/US,2960,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101192
WIKI UK/ESP,2960,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101183
WIKI UK/IT,2960,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101186
WIKI UK10G/BBL,2321,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101194
WIKI UK10G/OR,2321,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101197
WIKI UK10S/BBL,2321,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101201
WIKI UK10S/RD,2321,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101205
WIKI UK10G/YLW,2321,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101193
WIKI UK10G/GR,2321,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101196
WIKI UK10G/VLT,2321,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101200
WIKI UK10S/OR,2321,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101203
WIKI UK10G/BL,2321,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101195
WIKI UK10S/BK,2321,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A101202
FLIGHT DUC 323 CEQ MAH/MAH,7630,В наличии,Натуральный,Со звукоснимателем,Чехол,15,17,Красное дерево,Концерт,Палисандр,Окоуме,https://www.muztorg.ru/product/A065082#characteristics
ENYA EUC-25D,7090,В наличии,Коричневый,Без звукоснимателя,Чехол,15,18,Красное дерево,Концерт,Tech-Ebony,Красное дерево,https://www.muztorg.ru/product/A076767#characteristics
FLIGHT DUC 450 MAN/MAN,10680,В наличии,Коричневый,Без звукоснимателя,Чехол,15,18,Манго,Концерт,Палисандр,Окоуме,https://www.muztorg.ru/product/A073018#characteristics
"KALA KA-SU-SKULLS Kala Ukadelic Skulls, Soprano",3300,В наличии,Красный,Без звукоснимателя,,13.7,12,Пластик,Сопрано,Пластик,Пластик,https://www.muztorg.ru/product/A087721#characteristics
CORDOBA 15 CM,8500,В наличии,Коричневый,Без звукоснимателя,,15,18,Красное дерево,Концерт,Палисандр,Красное дерево,https://www.muztorg.ru/product/A065251#characteristics
KALA KA-CEMB Kala Concert Exotic Mahogany Blue Ukulele,9300,В наличии,Голубой,Без звукоснимателя,,14.8,18,Красное дерево,Концерт,Орех,Красное дерево,https://www.muztorg.ru/product/A087744#characteristics
ENYA EUT-20,5990,В наличии,Натуральный,Без звукоснимателя,Чехол,,18,Сапеле,Тенор,Tech-Ebony,Красное дерево,https://www.muztorg.ru/product/A082500#characteristics
CORDOBA 15 SM,7800,В наличии,Коричневый,Без звукоснимателя,,13.6,17,Махагони,Сопрано,Палисандр,Красное дерево,https://www.muztorg.ru/product/A065250#characteristics
WIKI UK/BZ,2931,В наличии,Рисунок,Без звукоснимателя,Чехол,13.6,12,Липа,Сопрано,,,https://www.muztorg.ru/product/A062081#characteristics
CORDOBA 23 S,14400,В наличии,Натуральный,Без звукоснимателя,,13.8,16,Ованкол,Сопрано,Палисандр,Махагони,https://www.muztorg.ru/product/A065264#characteristics
FLIGHT DUB 38 CEQ MAH/MAH,10320,В наличии,Натуральный,Со звукоснимателем,Чехол,20,19,Красное дерево,Баритон,Палисандр,Окоуме,https://www.muztorg.ru/product/A061438#characteristics
FLIGHT VICTORIA CONCERT CE,18000,В наличии,,,,,,,,,,https://www.muztorg.ru/product/A103035
